연번,계약번호,구분,계약명,계약일자,계약시작일,계약종료일,계약금액,거래처,계약방법,수의계약사유,구매요구부서,출처파일,시트명
1,,,공공복합통신위성 송수신시스템 개발 용역,2024-01-05,,,1898600000.0,(주)하이게인안테나,,,지상국기술연구부,14.+구매+계약현황(2024년).xlsx,Table 1
2,,,2024년 심우주 지상 안테나 시스템 운영관리 및 운영자 편의기능구현 용역,2024-01-04,,,287925000.0,(주)에스알티,,,지상국기술연구부,14.+구매+계약현황(2024년).xlsx,Table 1
3,,,음향챔버 대형도어 유지보수,2024-01-05,,,29700000.0,(주)에스엠인스트루먼트,,,위성총조립시험센터,14.+구매+계약현황(2024년).xlsx,Table 1
4,,,설비 제어용 압력 및 온도 트랜스미터,2024-01-04,,,58806000.0,스마일계기,,,항공추진연구부,14.+구매+계약현황(2024년).xlsx,Table 1
5,,,한국형 위성항법시스템 (KPS) 지상시스템 안테나국 개발 용역,2024-01-15,,,10560000000.0,(주)케이티샛,,,지상국기술연구부,14.+구매+계약현황(2024년).xlsx,Table 1
6,,,UAM 도심운용소음 측정을 위한 소음 모니터링 측정 및 데이터 분석 시스템 용역,2024-01-11,,,340574000.0,엔바이로스위트코리아 유한회사,,,UAM연구부,14.+구매+계약현황(2024년).xlsx,Table 1
7,,,2024년 정화조 및 주방청소 용역,2024-01-16,,,20900000.0,광진개발,,,인프라종합지원실,14.+구매+계약현황(2024년).xlsx,Table 1
8,,,STD1.0 위성탑재용 안테나 시제 제작,2024-01-17,,,41343000.0,(주)극동통신,,,지상국기술연구부,14.+구매+계약현황(2024년).xlsx,Table 1
9,,,2024년도 자산관리 시스템 유지보수,2024-02-01,,,48500000.0,(주)인터웹,,,자산관리팀,14.+구매+계약현황(2024년).xlsx,Table 1
10,,,2024년 연구원 홈페이지 유지관리,2024-01-22,,,29260000.0,(주)메이아이,,,홍보실,14.+구매+계약현황(2024년).xlsx,Table 1
11,,,민간 소형발사체 발사장 건설공사 건설사업관리 용역,2024-01-25,,,1485000000.0,(주)신명건설기술공사,,,시설안전기술부,14.+구매+계약현황(2024년).xlsx,Table 1
12,,,2024년도 나로우주센터 가스 단가계약,2024-01-23,,,847900000.0,단일가스켐(주),,,우주추진연구부,14.+구매+계약현황(2024년).xlsx,Table 1
13,,,2024년 연구원 조경유지관리,2024-01-19,,,311678000.0,백상엘앤씨(주),,,인프라종합지원실,14.+구매+계약현황(2024년).xlsx,Table 1
14,,,2024년 문서보안솔루션 통합유지보수,2024-01-24,,,26400000.0,주식회사 파수,,,KARI아카데미,14.+구매+계약현황(2024년).xlsx,Table 1
15,,,2024년도 국가위성운영센터 재산종합보험,2024-02-07,,,27261360.0,(사) 한국화재보험협회,,,운영관리실(위성정보),14.+구매+계약현황(2024년).xlsx,Table 1
16,,,민간 소형발사체 발사장 건설공사 건설폐기물 처리용역,2024-01-29,,,146054000.0,(유)장성이엔티,,,시설안전기술부,14.+구매+계약현황(2024년).xlsx,Table 1
17,,,해양경찰청 활용시스템 개발용 PC 및 주변기기 구매,2024-01-25,,,21200000.0,주식회사 한솔티에스,,,국가위성정보활용지원센터,14.+구매+계약현황(2024년).xlsx,Table 1
18,,,터보펌프 회전수 측정 센서(FZ092) 제작,2024-01-26,,,48500000.0,(주)스페이스솔루션,,,우주추진연구부,14.+구매+계약현황(2024년).xlsx,Table 1
19,,,친환경 수직이착륙 항공기 통신장비 운용 및 정비 용역,2024-01-30,,,70950000.0,(주)두타기술,,,UAM연구부,14.+구매+계약현황(2024년).xlsx,Table 1
21,,,수직이착륙 무인기 GCS 항전 유지관리 용역,2024-02-05,,,38000000.0,솔버스,,,UAM연구부,14.+구매+계약현황(2024년).xlsx,Table 1
22,,,발사체 개발 지원 AutoCAD 2022 복수사용자 1년 라이선스 구매(2024년),2024-01-31,,,29381000.0,대전조달청,,,발사체체계종합연구부,14.+구매+계약현황(2024년).xlsx,Table 1
23,,,차세대발사체 복합재동체 시편 평가용 Toray 복합재원소재 구매,2024-01-31,,,53000000.0,도레이첨단소재 주식회사,,,발사체기술연구1부,14.+구매+계약현황(2024년).xlsx,Table 1
24,,,전자회로 설계 및 분석 소프트웨어(OrCAD) 유지보수,2024-02-23,,,29500000.0,나인플러스아이티(주),,,발사체기술연구2부,14.+구매+계약현황(2024년).xlsx,Table 1
25,,,차세대발사체개발사업 발사체 총괄 주관 제작 입찰 기술능력 평가 지원,2024-01-31,,,21446000.0,(주)마이스베로,,,연구조정실(발사체),14.+구매+계약현황(2024년).xlsx,Table 1
26,,,해외 지상국 관제용 모뎀 장비(CRT-Q) 구매,2024-02-15,,,179795000.0,주식회사 싸이택,,,위성운영부,14.+구매+계약현황(2024년).xlsx,Table 1
27,,,발사시설 전력공급설비 개선(가스터빈 발전기 4호기 노후부품 교체),2024-02-01,,,20667570.0,STX엔진주식회사,,,시설안전기술부,14.+구매+계약현황(2024년).xlsx,Table 1
28,,,AI 예측 알고리즘 테스트베드 제작 용역,2024-02-02,,,45000000.0,한국과학기술원,,,미래혁신연구센터,14.+구매+계약현황(2024년).xlsx,Table 1
29,,,나로우주센터 기상레이다 유지보수 용역,2024-02-01,,,81900000.0,주식회사 인탭,,,비행안전기술부,14.+구매+계약현황(2024년).xlsx,Table 1
30,,,블레이드 최적형상 연산용 서버,2024-02-08,,,20900000.0,에이치피씨코리아(주),,,항공기술연구부,14.+구매+계약현황(2024년).xlsx,Table 1
31,,,민간 소형발사체 발사장 구축사업 사후환경영향조사 용역,2024-02-14,,,634488000.0,(주)선진엔지니어링종합건축사사무소,,,시설안전기술부,14.+구매+계약현황(2024년).xlsx,Table 1
32,,,추진2동 전력공급부(저압main용) 증설구축,2024-02-06,,,66805000.0,대전조달청,,,인프라종합지원실,14.+구매+계약현황(2024년).xlsx,Table 1
33,,,수직이착륙항공기 외부조종 및 정비 용역,2024-02-07,,,95400000.0,성우엔지니어링,,,UAM연구부,14.+구매+계약현황(2024년).xlsx,Table 1
34,,,한국형발사체 기술지원플랫폼 건설폐기물 처리,2024-02-15,,,21890000.0,주식회사동양알디,,,인프라종합지원실,14.+구매+계약현황(2024년).xlsx,Table 1
35,,,원격자료수신장비 고장장비(수신기 및 데이터 저장장치) 수리,2024-02-07,,,62800000.0,주식회사 싸이택,,,비행안전기술부,14.+구매+계약현황(2024년).xlsx,Table 1
36,,,기업지원 이력관리시스템 고도화 용역,2024-02-13,,,49600000.0,(주)아이비데이타,,,기술사업화실,14.+구매+계약현황(2024년).xlsx,Table 1
37,,,2024년 항공우주 연구개발 영상 촬영,2024-02-14,,,92895000.0,제이에스 조인미디어,,,홍보실,14.+구매+계약현황(2024년).xlsx,Table 1
38,,,오파브 정비 및 이동 용역,2024-02-13,,,592000000.0,베셀에어로스페이스(주),,,UAM연구부,14.+구매+계약현황(2024년).xlsx,Table 1
39,,,2024년 전기설비 정밀안전진단용역,2024-02-13,,,77600000.0,(주)한국진단기술원,,,인프라종합지원실,14.+구매+계약현황(2024년).xlsx,Table 1
40,,,한컴오피스 2024 ALA(1년 사용권) 250 copies,2024-02-13,,,25162500.0,대전조달청,,,IT정보보안실,14.+구매+계약현황(2024년).xlsx,Table 1
41,,,UAM 운용소음측정시험 지원 용역,2024-02-15,,,37384020.0,(주)자이언트드론,,,항공기술연구부,14.+구매+계약현황(2024년).xlsx,Table 1
42,,,한국형 위성항법시스템 위성1호(KPS1) 항재밍 기능 시험 장비(CRT-XL) 소프트웨어 업그레이드,2024-03-15,,,35790000.0,주식회사 싸이택,,,위성기술연구부,14.+구매+계약현황(2024년).xlsx,Table 1
43,,,2024년 상반기 정규직 채용 대행 용역,2024-02-19,,,21692000.0,인크루트 주식회사,,,인사혁신실,14.+구매+계약현황(2024년).xlsx,Table 1
44,,,항공용 충돌시험 인체더미 구매,2024-02-20,,,300619000.0,(주)자트,,,항공기술연구부,14.+구매+계약현황(2024년).xlsx,Table 1
45,,,우주비행기 해석용 클러스터 서브모듈 구매,2024-02-21,,,59390000.0,에이치피씨코리아(주),,,항공기술연구부,14.+구매+계약현황(2024년).xlsx,Table 1
46,,,KASS 안전운용 도구 운영을 위한 사이트 조사 및 시설 개선,2024-01-24,,,348900000.0,주식회사 세영,,,체계종합팀,14.+구매+계약현황(2024년).xlsx,Table 1
47,,,유사도검사 프로그램(copykiller) 라이센스 계약,2024-02-20,,,33000000.0,주식회사 무하유,,,KARI아카데미,14.+구매+계약현황(2024년).xlsx,Table 1
48,,,차세대발사체 복합재동체 알루미늄 Flex 코아 구매,2024-02-21,,,23760000.0,주식회사 두리콥,,,발사체기술연구1부,14.+구매+계약현황(2024년).xlsx,Table 1
49,,,민간 소형발사체 발사장 건설공사(토목공사),2024-02-16,,,23242479980.0,주식회사 디엠디건설,,,시설안전기술부,14.+구매+계약현황(2024년).xlsx,Table 1
50,,,국가위성 관리체계 수립을 위한 기획연구,2024-02-26,,,43636360.0,과학기술정책연구원,,,위성운영부,14.+구매+계약현황(2024년).xlsx,Table 1
51,,,나로우주센터 터보펌프 실매질 시험설비 영상계측시스템 복구,2024-02-20,,,291776000.0,주식회사 아이비에스코리아,,,우주추진연구부,14.+구매+계약현황(2024년).xlsx,Table 1
52,,,추진기관시스템 시험설비 유지보수 용역(2024년),2024-03-15,,,1083800000.0,현대로템주식회사,,,발사체체계종합연구부,14.+구매+계약현황(2024년).xlsx,Table 1
53,,,훨타워 인버터 점검용 DC 전원공급장치 증설,2024-02-21,,,40884580.0,신안종합건설주식회사,,,항공기술연구부,14.+구매+계약현황(2024년).xlsx,Table 1
54,,,발사체시스템 통합시험설비 유지보수,2024-02-22,,,29300000.0,(주)리얼타임웨이브,,,발사체체계설계부,14.+구매+계약현황(2024년).xlsx,Table 1
55,,,통합 에비오닉스시스템 모델기반 설계용 소프트웨어 리스,2024-02-26,,,26228400.0,매스웍스코리아 유한회사,,,소형발사체연구부,14.+구매+계약현황(2024년).xlsx,Table 1
